# {'EVID','X','Y','Z','OT','dOT','ex','ey','ez'} (%8.3f %8.3f %8.3f %015.3f %7.3f %f %f %f\n)
196    2.107   -7.462   21.760 20161225121114.852   0.046 0.195000 0.228000 0.270000
197    2.246   -8.906   21.750 20161226121114.852   0.017 0.183000 0.226000 0.200000
198    2.101   -9.923   21.740 20161227121114.852   0.044 0.168000 0.253000 0.200000
199    2.358  -11.413   22.330 20161228121114.852  -0.051 0.182000 0.167000 0.200000
200    2.485  -12.609   22.510 20161229121114.852  -0.087 0.222000 0.264000 0.230000
201    0.936   -7.310   22.130 20161230121114.852  -0.027 0.158000 0.175000 0.200000
202    1.048   -8.807   22.290 20161231121114.852  -0.040 0.230000 0.234000 0.240000
203    0.794  -10.182   21.800 20170101121114.852  -0.001 0.199000 0.234000 0.220000
204    0.685  -11.348   21.680 20170102121114.852   0.024 0.188000 0.182000 0.210000
205    0.747  -12.248   21.640 20170103121114.852   0.065 0.178000 0.212000 0.200000
206   -0.180   -7.662   21.940 20170104121114.852  -0.016 0.180000 0.182000 0.210000
207   -0.010   -9.332   22.230 20170105121114.852  -0.081 0.245000 0.188000 0.230000
208   -0.593  -10.308   21.970 20170106121114.852  -0.024 0.214000 0.195000 0.210000
209   -0.248  -11.325   21.950 20170107121114.852   0.012 0.186000 0.224000 0.190000
210   -0.425  -12.579   22.250 20170108121114.852  -0.037 0.200000 0.164000 0.240000
211   -1.456   -7.658   22.140 20170109121114.852  -0.029 0.203000 0.203000 0.230000
212   -1.548   -9.031   21.910 20170110121114.852  -0.005 0.178000 0.221000 0.220000
213   -1.853   -9.782   21.450 20170111121114.852   0.068 0.171000 0.204000 0.180000
214   -1.758  -11.315   21.960 20170112121114.852   0.007 0.208000 0.242000 0.280000
215   -1.781  -12.549   21.840 20170113121114.852   0.007 0.204000 0.209000 0.210000
216   -2.893   -7.310   21.600 20170114121114.852   0.036 0.196000 0.170000 0.200000
217   -2.759   -8.827   22.010 20170115121114.852  -0.023 0.194000 0.257000 0.240000
218   -2.784   -9.810   21.650 20170116121114.852   0.045 0.164000 0.172000 0.200000
219   -3.054  -11.494   22.320 20170117121114.852  -0.065 0.183000 0.177000 0.190000
220   -2.512  -12.626   21.960 20170118121114.852   0.019 0.224000 0.166000 0.230000
